"2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@5cc48065: startup date [Tue Oct 03 14:56:25 KRAT 2017]; root of context hierarchy
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.m.m.a.RequestMappingHandlerMapping - Looking for request mappings in application context: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@5cc48065: startup date [Tue Oct 03 14:56:25 KRAT 2017]; root of context hierarchy
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.m.m.a.RequestMappingHandlerMapping - 4 request handler methods found on class ru.danileyko.controller.DataController: {public java.lang.String ru.danileyko.controller.DataController.getStatus()={[/sshtest]}, public java.lang.String ru.danileyko.controller.DataController.getUser()={[/user]}, public java.util.List ru.danileyko.controller.DataController.getPortStatus()={[/portstatus]}, public java.util.List ru.danileyko.controller.DataController.getDevices()={[/alldev]}}
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/sshtest]}" onto public java.lang.String ru.danileyko.controller.DataController.getStatus()
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/user]}" onto public java.lang.String ru.danileyko.controller.DataController.getUser()
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/portstatus]}" onto public java.util.List<ru.danileyko.reports.ReportStatusOfPort> ru.danileyko.controller.DataController.getPortStatus()
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/alldev]}" onto public java.util.List<ru.danileyko.model.Device> ru.danileyko.controller.DataController.getDevices()
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.m.m.a.RequestMappingHandlerMapping - 2 request handler methods found on class org.springframework.boot.autoconfigure.web.BasicErrorController: {public org.springframework.http.ResponseEntity org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)={[/error]}, public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)={[/error],produces=[text/html]}}
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Looking for URL mappings in application context: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@5cc48065: startup date [Tue Oct 03 14:56:25 KRAT 2017]; root of context hierarchy
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'org.springframework.context.annotation.internalRequiredAnnotationProcessor': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'org.springframework.context.annotation.internalCommonAnnotationProcessor': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'org.springframework.context.annotation.internalPersistenceAnnotationProcessor': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'org.springframework.context.event.internalEventListenerProcessor': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'org.springframework.context.event.internalEventListenerFactory': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'runnet1Application': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'errorPageFilterConfiguration': no URL paths identified
""2017-10-03 14:56:33 [RMI TCP Connection(3)-127.0.0.1] DEBUG o.s.w.s.h.BeanNameUrlHandlerMapping - Rejected bean name 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory': no URL paths identified
